id,time,address_as_recorded,reason,geocoded_as,lat,lon
"781","23:10","Tarn Street, Camberwell, Greater London, SE1","district","London, Greater London SE1, UK","51.499038","-0.087982"
"789","23:20","36-38 Cliffview Road, Lewisham SE13","postal district differs","Cliffview Road, Deptford, London Borough of Lewisham, Greater London, London, England, SE29, United Kingdom","51.461577","-0.022701"
"798","23:30","Baker Street, w1","manual","Placed by hand on Baker Street, W1 (was geocoded to Bedfordshire).","51.5214","-0.1569"
"800","23:31","Addison Road, Kensington, w14","postal district differs","Addison Road, Notting Hill, Royal Borough of Kensington and Chelsea, Greater London, London, England, W8 6LS, United Kingdom","51.498452","-0.206156"
"803","23:34","Crawford Street, w1","postal district differs","Crawford Street, Marylebone, City of Westminster, Greater London, London, England, NW1 5QT, United Kingdom","51.519533","-0.160691"
"804","23:34","Holland Villas Road , Kensington W1","postal district differs","Holland Villas Road, Shepherd's Bush, Royal Borough of Kensington and Chelsea, Greater London, London, England, W14 0LL, United Kingdom","51.502118","-0.211416"
"815","23:39","New Kent Road, Se1 and Trocadero Cinema ","district","London, UK","51.50845","-0.128748"
"817","23:41","117 Walworth Road, Se17","postal district differs","Walworth Road, Elephant & Castle, London Borough of Southwark, Greater London, London, England, SE1 6TB, United Kingdom","51.493306","-0.100084"
"819","23:45","Westferry Road, Docklands, London E14","district","London, Greater London E14, UK","51.509581","-0.017571"
"820","23:45","Thorpes Wharf, Brewhouse Lane, Stopney E1","district","London, Greater London E1, UK","51.517581","-0.056135"
"821","23:45","Pier Road, North Woolwich, E16","postal district differs","Pier Road, North Woolwich, London Borough of Newham, Greater London, London, England, SE18, United Kingdom","51.498602","0.059672"
"824","23:46","Culloden Street School, Poplar, E14. ","district","Poplar, London, Greater London E14 6EZ, UK","51.511656","-0.021203"
"827","23:48","139 Walworth Road Se17","district","Shell, 137-139, Walworth Road, Elephant & Castle, London Borough of Southwark, Greater London, London, England, SE17 1JZ, United Kingdom","51.491342","-0.097311"
"829","23:52","Mare Street, Hackney, E9","postal district differs","Mare Street, Lower Clapton, London Borough of Hackney, Greater London, London, England, E8 1PJ, United Kingdom","51.546245","-0.055088"
"830","23:52","186, 188, 190 and 192. 233-251, 201-231 and 253-257.","district","London, UK","51.507568","-0.127801"
"834","23:54","Tillostson Street, Dean Cross Street, Stepney, E1","district","E Cross Route, London, UK","51.536615","-0.02547"
"835","23:55","41-47 Abernethy Road, Lee SE12","approx","41-47 Abernethy Road, Lee SE12, London, UK","51.446","0.018"
"625","20:55","Sheffield House, 3, 5 and 7 (3 buildings) ","unlocated","'Sheffield House, 3, 5 and 7' gives no street or district; was geocoded to Sheffield.","",""
